# Goxel 0.7.1
# One line per voxel
# X Y Z RRGGBB
-345 8 -28 ffffff
-344 8 -28 ffffff
-343 8 -28 ffffff
-342 8 -28 ffffff
-341 8 -28 ffffff
-340 8 -28 ffffff
-339 8 -28 ffffff
-338 8 -28 ffffff
-347 9 -28 ffffff
-346 9 -28 ffffff
-345 9 -28 ffffff
-344 9 -28 ffffff
-343 9 -28 ffffff
-342 9 -28 ffffff
-341 9 -28 ffffff
-340 9 -28 ffffff
-347 10 -28 ffffff
-346 10 -28 ffffff
-345 10 -28 ffffff
-344 10 -28 ffffff
-343 10 -28 ffffff
-342 10 -28 ffffff
-341 10 -28 ffffff
-335 6 -30 ffffff
-334 6 -30 ffffff
-333 6 -30 ffffff
-332 6 -30 ffffff
-331 6 -30 ffffff
-330 6 -30 ffffff
-329 6 -30 ffffff
-328 6 -30 ffffff
-327 6 -30 ffffff
-326 6 -30 ffffff
-325 6 -30 ffffff
-324 6 -30 ffffff
-323 6 -30 ffffff
-322 6 -30 ffffff
-335 7 -30 ffffff
-334 7 -30 ffffff
-333 7 -30 ffffff
-332 7 -30 ffffff
-331 7 -30 ffffff
-330 7 -30 ffffff
-329 7 -30 ffffff
-328 7 -30 ffffff
-327 7 -30 ffffff
-326 7 -30 ffffff
-325 7 -30 ffffff
-324 7 -30 ffffff
-323 7 -30 ffffff
-322 7 -30 ffffff
-335 8 -30 ffffff
-334 8 -30 ffffff
-333 8 -30 ffffff
-332 8 -30 ffffff
-331 8 -30 ffffff
-330 8 -30 ffffff
-329 8 -30 ffffff
-328 8 -30 ffffff
-327 8 -30 ffffff
-326 8 -30 ffffff
-325 8 -30 ffffff
-324 8 -30 ffffff
-323 8 -30 ffffff
-322 8 -30 ffffff
-335 9 -30 ffffff
-334 9 -30 ffffff
-333 9 -30 ffffff
-332 9 -30 ffffff
-331 9 -30 ffffff
-330 9 -30 ffffff
-329 9 -30 ffffff
-328 9 -30 ffffff
-327 9 -30 ffffff
-326 9 -30 ffffff
-325 9 -30 ffffff
-324 9 -30 ffffff
-323 9 -30 ffffff
-322 9 -30 ffffff
-335 10 -30 ffffff
-334 10 -30 ffffff
-333 10 -30 ffffff
-332 10 -30 ffffff
-331 10 -30 ffffff
-330 10 -30 ffffff
-329 10 -30 ffffff
-328 10 -30 ffffff
-327 10 -30 ffffff
-326 10 -30 ffffff
-325 10 -30 ffffff
-324 10 -30 ffffff
-323 10 -30 ffffff
-322 10 -30 ffffff
-335 6 -29 ffffff
-334 6 -29 ffffff
-333 6 -29 ffffff
-332 6 -29 ffffff
-331 6 -29 ffffff
-324 6 -29 ffffff
-323 6 -29 ffffff
-322 6 -29 ffffff
-335 7 -29 ffffff
-334 7 -29 ffffff
-333 7 -29 ffffff
-332 7 -29 ffffff
-331 7 -29 ffffff
-330 7 -29 ffffff
-329 7 -29 ffffff
-325 7 -29 ffffff
-324 7 -29 ffffff
-323 7 -29 ffffff
-322 7 -29 ffffff
-335 8 -29 ffffff
-334 8 -29 ffffff
-333 8 -29 ffffff
-332 8 -29 ffffff
-331 8 -29 ffffff
-330 8 -29 ffffff
-329 8 -29 ffffff
-325 8 -29 ffffff
-324 8 -29 ffffff
-323 8 -29 ffffff
-322 8 -29 ffffff
-335 9 -29 ffffff
-334 9 -29 ffffff
-333 9 -29 ffffff
-332 9 -29 ffffff
-331 9 -29 ffffff
-330 9 -29 ffffff
-329 9 -29 ffffff
-325 9 -29 ffffff
-324 9 -29 ffffff
-323 9 -29 ffffff
-322 9 -29 ffffff
-335 10 -29 ffffff
-334 10 -29 ffffff
-333 10 -29 ffffff
-332 10 -29 ffffff
-324 10 -29 ffffff
-323 10 -29 ffffff
-322 10 -29 ffffff
-323 6 -28 ffffff
-322 6 -28 ffffff
-334 7 -28 ffffff
-333 7 -28 ffffff
-332 7 -28 ffffff
-323 7 -28 ffffff
-322 7 -28 ffffff
-334 8 -28 ffffff
-333 8 -28 ffffff
-332 8 -28 ffffff
-323 8 -28 ffffff
-322 8 -28 ffffff
-334 9 -28 ffffff
-333 9 -28 ffffff
-332 9 -28 ffffff
-323 9 -28 ffffff
-322 9 -28 ffffff
-335 10 -28 ffffff
-334 10 -28 ffffff
-333 10 -28 ffffff
-332 10 -28 ffffff
-323 10 -28 ffffff
-322 10 -28 ffffff
-321 6 -30 ffffff
-320 6 -30 ffffff
-319 6 -30 ffffff
-318 6 -30 ffffff
-317 6 -30 ffffff
-316 6 -30 ffffff
-315 6 -30 ffffff
-314 6 -30 ffffff
-313 6 -30 ffffff
-312 6 -30 ffffff
-311 6 -30 ffffff
-310 6 -30 ffffff
-309 6 -30 ffffff
-308 6 -30 ffffff
-321 7 -30 ffffff
-320 7 -30 ffffff
-319 7 -30 ffffff
-318 7 -30 ffffff
-317 7 -30 ffffff
-316 7 -30 ffffff
-315 7 -30 ffffff
-314 7 -30 ffffff
-313 7 -30 ffffff
-312 7 -30 ffffff
-311 7 -30 ffffff
-310 7 -30 ffffff
-309 7 -30 ffffff
-308 7 -30 ffffff
-321 8 -30 ffffff
-320 8 -30 ffffff
-319 8 -30 ffffff
-318 8 -30 ffffff
-317 8 -30 ffffff
-316 8 -30 ffffff
-315 8 -30 ffffff
-314 8 -30 ffffff
-313 8 -30 ffffff
-312 8 -30 ffffff
-311 8 -30 ffffff
-310 8 -30 ffffff
-309 8 -30 ffffff
-308 8 -30 ffffff
-321 9 -30 ffffff
-320 9 -30 ffffff
-319 9 -30 ffffff
-318 9 -30 ffffff
-317 9 -30 ffffff
-316 9 -30 ffffff
-315 9 -30 ffffff
-314 9 -30 ffffff
-313 9 -30 ffffff
-312 9 -30 ffffff
-311 9 -30 ffffff
-310 9 -30 ffffff
-309 9 -30 ffffff
-308 9 -30 ffffff
-321 10 -30 ffffff
-320 10 -30 ffffff
-319 10 -30 ffffff
-318 10 -30 ffffff
-317 10 -30 ffffff
-316 10 -30 ffffff
-315 10 -30 ffffff
-314 10 -30 ffffff
-313 10 -30 ffffff
-312 10 -30 ffffff
-311 10 -30 ffffff
-310 10 -30 ffffff
-309 10 -30 ffffff
-308 10 -30 ffffff
-321 6 -29 ffffff
-320 6 -29 ffffff
-319 6 -29 ffffff
-318 6 -29 ffffff
-315 6 -29 ffffff
-314 6 -29 ffffff
-313 6 -29 ffffff
-312 6 -29 ffffff
-311 6 -29 ffffff
-310 6 -29 ffffff
-309 6 -29 ffffff
-308 6 -29 ffffff
-321 7 -29 ffffff
-320 7 -29 ffffff
-319 7 -29 ffffff
-318 7 -29 ffffff
-315 7 -29 ffffff
-314 7 -29 ffffff
-313 7 -29 ffffff
-312 7 -29 ffffff
-311 7 -29 ffffff
-310 7 -29 ffffff
-309 7 -29 ffffff
-308 7 -29 ffffff
-321 8 -29 ffffff
-320 8 -29 ffffff
-319 8 -29 ffffff
-318 8 -29 ffffff
-315 8 -29 ffffff
-314 8 -29 ffffff
-313 8 -29 ffffff
-312 8 -29 ffffff
-311 8 -29 ffffff
-310 8 -29 ffffff
-309 8 -29 ffffff
-308 8 -29 ffffff
-321 9 -29 ffffff
-320 9 -29 ffffff
-319 9 -29 ffffff
-318 9 -29 ffffff
-317 9 -29 ffffff
-316 9 -29 ffffff
-315 9 -29 ffffff
-314 9 -29 ffffff
-313 9 -29 ffffff
-312 9 -29 ffffff
-311 9 -29 ffffff
-310 9 -29 ffffff
-309 9 -29 ffffff
-308 9 -29 ffffff
-321 10 -29 ffffff
-320 10 -29 ffffff
-319 10 -29 ffffff
-318 10 -29 ffffff
-317 10 -29 ffffff
-316 10 -29 ffffff
-315 10 -29 ffffff
-314 10 -29 ffffff
-313 10 -29 ffffff
-312 10 -29 ffffff
-311 10 -29 ffffff
-310 10 -29 ffffff
-309 10 -29 ffffff
-308 10 -29 ffffff
-321 6 -28 ffffff
-320 6 -28 ffffff
-319 6 -28 ffffff
-315 6 -28 ffffff
-314 6 -28 ffffff
-313 6 -28 ffffff
-312 6 -28 ffffff
-311 6 -28 ffffff
-310 6 -28 ffffff
-309 6 -28 ffffff
-308 6 -28 ffffff
-321 7 -28 ffffff
-320 7 -28 ffffff
-319 7 -28 ffffff
-315 7 -28 ffffff
-314 7 -28 ffffff
-313 7 -28 ffffff
-312 7 -28 ffffff
-311 7 -28 ffffff
-310 7 -28 ffffff
-309 7 -28 ffffff
-308 7 -28 ffffff
-321 8 -28 ffffff
-320 8 -28 ffffff
-319 8 -28 ffffff
-315 8 -28 ffffff
-314 8 -28 ffffff
-313 8 -28 ffffff
-312 8 -28 ffffff
-311 8 -28 ffffff
-310 8 -28 ffffff
-309 8 -28 ffffff
-308 8 -28 ffffff
-321 9 -28 ffffff
-320 9 -28 ffffff
-319 9 -28 ffffff
-318 9 -28 ffffff
-317 9 -28 ffffff
-316 9 -28 ffffff
-315 9 -28 ffffff
-314 9 -28 ffffff
-313 9 -28 ffffff
-312 9 -28 ffffff
-311 9 -28 ffffff
-310 9 -28 ffffff
-309 9 -28 ffffff
-308 9 -28 ffffff
-321 10 -28 ffffff
-320 10 -28 ffffff
-319 10 -28 ffffff
-318 10 -28 ffffff
-317 10 -28 ffffff
-316 10 -28 ffffff
-315 10 -28 ffffff
-314 10 -28 ffffff
-313 10 -28 ffffff
-312 10 -28 ffffff
-311 10 -28 ffffff
-310 10 -28 ffffff
-309 10 -28 ffffff
-308 10 -28 ffffff
-307 6 -30 ffffff
-306 6 -30 ffffff
-305 6 -30 ffffff
-304 6 -30 ffffff
-303 6 -30 ffffff
-302 6 -30 ffffff
-301 6 -30 ffffff
-300 6 -30 ffffff
-307 7 -30 ffffff
-306 7 -30 ffffff
-305 7 -30 ffffff
-304 7 -30 ffffff
-303 7 -30 ffffff
-302 7 -30 ffffff
-301 7 -30 ffffff
-300 7 -30 ffffff
-307 8 -30 ffffff
-306 8 -30 ffffff
-305 8 -30 ffffff
-304 8 -30 ffffff
-303 8 -30 ffffff
-302 8 -30 ffffff
-301 8 -30 ffffff
-300 8 -30 ffffff
-307 9 -30 ffffff
-306 9 -30 ffffff
-305 9 -30 ffffff
-304 9 -30 ffffff
-303 9 -30 ffffff
-302 9 -30 ffffff
-301 9 -30 ffffff
-300 9 -30 ffffff
-307 10 -30 ffffff
-306 10 -30 ffffff
-305 10 -30 ffffff
-304 10 -30 ffffff
-303 10 -30 ffffff
-302 10 -30 ffffff
-301 10 -30 ffffff
-300 10 -30 ffffff
-307 6 -29 ffffff
-306 6 -29 ffffff
-305 6 -29 ffffff
-304 6 -29 ffffff
-303 6 -29 ffffff
-302 6 -29 ffffff
-301 6 -29 ffffff
-300 6 -29 ffffff
-307 7 -29 ffffff
-306 7 -29 ffffff
-305 7 -29 ffffff
-304 7 -29 ffffff
-303 7 -29 ffffff
-302 7 -29 ffffff
-301 7 -29 ffffff
-300 7 -29 ffffff
-307 8 -29 ffffff
-306 8 -29 ffffff
-305 8 -29 ffffff
-304 8 -29 ffffff
-303 8 -29 ffffff
-302 8 -29 ffffff
-301 8 -29 ffffff
-300 8 -29 ffffff
-307 9 -29 ffffff
-306 9 -29 ffffff
-305 9 -29 ffffff
-304 9 -29 ffffff
-303 9 -29 ffffff
-302 9 -29 ffffff
-301 9 -29 ffffff
-300 9 -29 ffffff
-307 10 -29 ffffff
-306 10 -29 ffffff
-305 10 -29 ffffff
-304 10 -29 ffffff
-303 10 -29 ffffff
-302 10 -29 ffffff
-301 10 -29 ffffff
-300 10 -29 ffffff
-307 6 -28 ffffff
-306 6 -28 ffffff
-305 6 -28 ffffff
-304 6 -28 ffffff
-303 6 -28 ffffff
-302 6 -28 ffffff
-301 6 -28 ffffff
-300 6 -28 ffffff
-307 7 -28 ffffff
-306 7 -28 ffffff
-305 7 -28 ffffff
-304 7 -28 ffffff
-303 7 -28 ffffff
-302 7 -28 ffffff
-301 7 -28 ffffff
-300 7 -28 ffffff
-307 8 -28 ffffff
-306 8 -28 ffffff
-305 8 -28 ffffff
-304 8 -28 ffffff
-303 8 -28 ffffff
-302 8 -28 ffffff
-301 8 -28 ffffff
-300 8 -28 ffffff
-307 9 -28 ffffff
-306 9 -28 ffffff
-305 9 -28 ffffff
-304 9 -28 ffffff
-303 9 -28 ffffff
-302 9 -28 ffffff
-301 9 -28 ffffff
-300 9 -28 ffffff
-307 10 -28 ffffff
-306 10 -28 ffffff
-305 10 -28 ffffff
-304 10 -28 ffffff
-303 10 -28 ffffff
-302 10 -28 ffffff
-301 10 -28 ffffff
-300 10 -28 ffffff
-347 6 -27 ffffff
-346 6 -27 ffffff
-345 6 -27 ffffff
-344 6 -27 ffffff
-343 6 -27 ffffff
-342 6 -27 ffffff
-341 6 -27 ffffff
-340 6 -27 ffffff
-347 7 -27 ffffff
-346 7 -27 ffffff
-345 7 -27 ffffff
-344 7 -27 ffffff
-343 7 -27 ffffff
-342 7 -27 ffffff
-341 7 -27 ffffff
-340 7 -27 ffffff
-347 8 -27 ffffff
-346 8 -27 ffffff
-345 8 -27 ffffff
-344 8 -27 ffffff
-343 8 -27 ffffff
-342 8 -27 ffffff
-341 8 -27 ffffff
-340 8 -27 ffffff
-347 9 -27 ffffff
-346 9 -27 ffffff
-345 9 -27 ffffff
-344 9 -27 ffffff
-343 9 -27 ffffff
-342 9 -27 ffffff
-341 9 -27 ffffff
-340 9 -27 ffffff
-347 10 -27 ffffff
-346 10 -27 ffffff
-345 10 -27 ffffff
-344 10 -27 ffffff
-347 6 -26 ffffff
-346 6 -26 ffffff
-345 6 -26 ffffff
-344 6 -26 ffffff
-347 7 -26 ffffff
-346 7 -26 ffffff
-345 7 -26 ffffff
-344 7 -26 ffffff
-347 8 -26 ffffff
-346 8 -26 ffffff
-345 8 -26 ffffff
-344 8 -26 ffffff
-347 9 -26 ffffff
-346 9 -26 ffffff
-345 9 -26 ffffff
-344 9 -26 ffffff
-347 10 -26 ffffff
-346 10 -26 ffffff
-345 10 -26 ffffff
-336 10 -26 ffffff
-347 6 -25 ffffff
-346 6 -25 ffffff
-345 6 -25 ffffff
-344 6 -25 ffffff
-347 7 -25 ffffff
-346 7 -25 ffffff
-345 7 -25 ffffff
-344 7 -25 ffffff
-347 8 -25 ffffff
-346 8 -25 ffffff
-345 8 -25 ffffff
-347 9 -25 ffffff
-346 9 -25 ffffff
-345 9 -25 ffffff
-347 10 -25 ffffff
-346 10 -25 ffffff
-345 10 -25 ffffff
-336 10 -25 ffffff
-347 6 -24 ffffff
-346 6 -24 ffffff
-345 6 -24 ffffff
-344 6 -24 ffffff
-347 7 -24 ffffff
-346 7 -24 ffffff
-345 7 -24 ffffff
-347 8 -24 ffffff
-346 8 -24 ffffff
-345 8 -24 ffffff
-347 9 -24 ffffff
-346 9 -24 ffffff
-345 9 -24 ffffff
-347 10 -24 ffffff
-346 10 -24 ffffff
-345 10 -24 ffffff
-336 10 -24 ffffff
-347 6 -23 ffffff
-346 6 -23 ffffff
-345 6 -23 ffffff
-347 7 -23 ffffff
-346 7 -23 ffffff
-345 7 -23 ffffff
-347 8 -23 ffffff
-346 8 -23 ffffff
-345 8 -23 ffffff
-347 9 -23 ffffff
-346 9 -23 ffffff
-345 9 -23 ffffff
-347 10 -23 ffffff
-346 10 -23 ffffff
-345 10 -23 ffffff
-337 10 -23 ffffff
-336 10 -23 ffffff
-347 6 -22 ffffff
-346 6 -22 ffffff
-345 6 -22 ffffff
-347 7 -22 ffffff
-346 7 -22 ffffff
-345 7 -22 ffffff
-347 8 -22 ffffff
-346 8 -22 ffffff
-345 8 -22 ffffff
-347 9 -22 ffffff
-346 9 -22 ffffff
-345 9 -22 ffffff
-347 10 -22 ffffff
-346 10 -22 ffffff
-337 10 -22 ffffff
-336 10 -22 ffffff
-347 6 -21 ffffff
-346 6 -21 ffffff
-345 6 -21 ffffff
-347 7 -21 ffffff
-346 7 -21 ffffff
-345 7 -21 ffffff
-337 7 -21 ffffff
-336 7 -21 ffffff
-347 8 -21 ffffff
-346 8 -21 ffffff
-345 8 -21 ffffff
-337 8 -21 ffffff
-336 8 -21 ffffff
-347 9 -21 ffffff
-346 9 -21 ffffff
-337 9 -21 ffffff
-336 9 -21 ffffff
-347 10 -21 ffffff
-346 10 -21 ffffff
-337 10 -21 ffffff
-336 10 -21 ffffff
-347 6 -20 ffffff
-346 6 -20 ffffff
-347 7 -20 ffffff
-346 7 -20 ffffff
-345 7 -20 ffffff
-337 7 -20 ffffff
-336 7 -20 ffffff
-347 8 -20 ffffff
-346 8 -20 ffffff
-345 8 -20 ffffff
-337 8 -20 ffffff
-336 8 -20 ffffff
-347 9 -20 ffffff
-346 9 -20 ffffff
-345 9 -20 ffffff
-337 9 -20 ffffff
-336 9 -20 ffffff
-347 10 -20 ffffff
-346 10 -20 ffffff
-345 10 -20 ffffff
-337 10 -20 ffffff
-336 10 -20 ffffff
-347 6 -19 ffffff
-346 6 -19 ffffff
-345 6 -19 ffffff
-337 6 -19 ffffff
-336 6 -19 ffffff
-347 7 -19 ffffff
-346 7 -19 ffffff
-345 7 -19 ffffff
-337 7 -19 ffffff
-336 7 -19 ffffff
-347 8 -19 ffffff
-346 8 -19 ffffff
-345 8 -19 ffffff
-337 8 -19 ffffff
-336 8 -19 ffffff
-347 9 -19 ffffff
-346 9 -19 ffffff
-345 9 -19 ffffff
-337 9 -19 ffffff
-336 9 -19 ffffff
-347 10 -19 ffffff
-346 10 -19 ffffff
-337 10 -19 ffffff
-336 10 -19 ffffff
-347 6 -18 ffffff
-346 6 -18 ffffff
-345 6 -18 ffffff
-347 7 -18 ffffff
-346 7 -18 ffffff
-345 7 -18 ffffff
-347 8 -18 ffffff
-346 8 -18 ffffff
-345 8 -18 ffffff
-347 9 -18 ffffff
-346 9 -18 ffffff
-345 9 -18 ffffff
-347 10 -18 ffffff
-346 10 -18 ffffff
-345 10 -18 ffffff
-347 6 -17 ffffff
-346 6 -17 ffffff
-345 6 -17 ffffff
-347 7 -17 ffffff
-346 7 -17 ffffff
-345 7 -17 ffffff
-347 8 -17 ffffff
-346 8 -17 ffffff
-345 8 -17 ffffff
-344 8 -17 ffffff
-347 9 -17 ffffff
-346 9 -17 ffffff
-345 9 -17 ffffff
-344 9 -17 ffffff
-347 10 -17 ffffff
-346 10 -17 ffffff
-345 10 -17 ffffff
-344 10 -17 ffffff
-347 6 -16 ffffff
-346 6 -16 ffffff
-345 6 -16 ffffff
-347 7 -16 ffffff
-346 7 -16 ffffff
-345 7 -16 ffffff
-347 8 -16 ffffff
-346 8 -16 ffffff
-345 8 -16 ffffff
-344 8 -16 ffffff
-347 9 -16 ffffff
-346 9 -16 ffffff
-345 9 -16 ffffff
-344 9 -16 ffffff
-347 10 -16 ffffff
-346 10 -16 ffffff
-345 10 -16 ffffff
-344 10 -16 ffffff
-347 6 -15 ffffff
-346 6 -15 ffffff
-345 6 -15 ffffff
-347 7 -15 ffffff
-346 7 -15 ffffff
-345 7 -15 ffffff
-344 7 -15 ffffff
-347 8 -15 ffffff
-346 8 -15 ffffff
-345 8 -15 ffffff
-344 8 -15 ffffff
-347 9 -15 ffffff
-346 9 -15 ffffff
-345 9 -15 ffffff
-344 9 -15 ffffff
-347 10 -15 ffffff
-346 10 -15 ffffff
-345 10 -15 ffffff
-344 10 -15 ffffff
-347 6 -14 ffffff
-346 6 -14 ffffff
-345 6 -14 ffffff
-347 7 -14 ffffff
-346 7 -14 ffffff
-345 7 -14 ffffff
-344 7 -14 ffffff
-347 8 -14 ffffff
-346 8 -14 ffffff
-345 8 -14 ffffff
-344 8 -14 ffffff
-347 9 -14 ffffff
-346 9 -14 ffffff
-345 9 -14 ffffff
-344 9 -14 ffffff
-347 10 -14 ffffff
-346 10 -14 ffffff
-345 10 -14 ffffff
-344 10 -14 ffffff
-322 6 -27 ffffff
-322 7 -27 ffffff
-322 8 -27 ffffff
-334 9 -27 ffffff
-333 9 -27 ffffff
-322 9 -27 ffffff
-335 10 -27 ffffff
-334 10 -27 ffffff
-333 10 -27 ffffff
-323 10 -27 ffffff
-322 10 -27 ffffff
-334 9 -26 ffffff
-333 9 -26 ffffff
-322 9 -26 ffffff
-335 10 -26 ffffff
-334 10 -26 ffffff
-333 10 -26 ffffff
-334 9 -25 ffffff
-333 9 -25 ffffff
-335 10 -25 ffffff
-334 10 -25 ffffff
-333 10 -25 ffffff
-333 8 -24 ffffff
-335 9 -24 ffffff
-334 9 -24 ffffff
-333 9 -24 ffffff
-335 10 -24 ffffff
-334 10 -24 ffffff
-333 10 -24 ffffff
-334 8 -23 ffffff
-333 8 -23 ffffff
-332 8 -23 ffffff
-335 9 -23 ffffff
-334 9 -23 ffffff
-333 9 -23 ffffff
-335 10 -23 ffffff
-334 10 -23 ffffff
-333 10 -23 ffffff
-334 8 -22 ffffff
-333 8 -22 ffffff
-332 8 -22 ffffff
-335 9 -22 ffffff
-334 9 -22 ffffff
-333 9 -22 ffffff
-335 10 -22 ffffff
-334 10 -22 ffffff
-333 10 -22 ffffff
-335 6 -21 ffffff
-334 6 -21 ffffff
-334 7 -21 ffffff
-335 8 -21 ffffff
-334 8 -21 ffffff
-333 8 -21 ffffff
-332 8 -21 ffffff
-335 9 -21 ffffff
-334 9 -21 ffffff
-333 9 -21 ffffff
-332 9 -21 ffffff
-335 10 -21 ffffff
-334 10 -21 ffffff
-333 10 -21 ffffff
-332 10 -21 ffffff
-335 6 -20 ffffff
-334 6 -20 ffffff
-335 7 -20 ffffff
-334 7 -20 ffffff
-335 8 -20 ffffff
-334 8 -20 ffffff
-333 8 -20 ffffff
-332 8 -20 ffffff
-335 9 -20 ffffff
-334 9 -20 ffffff
-333 9 -20 ffffff
-332 9 -20 ffffff
-335 10 -20 ffffff
-334 10 -20 ffffff
-333 10 -20 ffffff
-332 10 -20 ffffff
-331 10 -20 ffffff
-335 6 -19 ffffff
-334 6 -19 ffffff
-333 6 -19 ffffff
-335 7 -19 ffffff
-334 7 -19 ffffff
-333 7 -19 ffffff
-335 8 -19 ffffff
-334 8 -19 ffffff
-333 8 -19 ffffff
-332 8 -19 ffffff
-335 9 -19 ffffff
-334 9 -19 ffffff
-333 9 -19 ffffff
-332 9 -19 ffffff
-335 10 -19 ffffff
-334 10 -19 ffffff
-333 10 -19 ffffff
-332 10 -19 ffffff
-331 10 -19 ffffff
-330 10 -19 ffffff
-332 8 -18 ffffff
-332 9 -18 ffffff
-332 10 -18 ffffff
-331 10 -18 ffffff
-330 10 -18 ffffff
-332 8 -17 ffffff
-332 9 -17 ffffff
-332 10 -17 ffffff
-331 10 -17 ffffff
-330 10 -17 ffffff
-332 8 -16 ffffff
-332 9 -16 ffffff
-330 9 -16 ffffff
-332 10 -16 ffffff
-331 10 -16 ffffff
-330 10 -16 ffffff
-322 7 -15 ffffff
-332 8 -15 ffffff
-323 8 -15 ffffff
-322 8 -15 ffffff
-332 9 -15 ffffff
-330 9 -15 ffffff
-329 9 -15 ffffff
-323 9 -15 ffffff
-322 9 -15 ffffff
-332 10 -15 ffffff
-331 10 -15 ffffff
-330 10 -15 ffffff
-329 10 -15 ffffff
-323 10 -15 ffffff
-322 10 -15 ffffff
-322 7 -14 ffffff
-332 8 -14 ffffff
-329 8 -14 ffffff
-328 8 -14 ffffff
-323 8 -14 ffffff
-322 8 -14 ffffff
-332 9 -14 ffffff
-331 9 -14 ffffff
-330 9 -14 ffffff
-329 9 -14 ffffff
-328 9 -14 ffffff
-323 9 -14 ffffff
-322 9 -14 ffffff
-332 10 -14 ffffff
-331 10 -14 ffffff
-330 10 -14 ffffff
-329 10 -14 ffffff
-323 10 -14 ffffff
-322 10 -14 ffffff
-321 6 -27 ffffff
-320 6 -27 ffffff
-319 6 -27 ffffff
-315 6 -27 ffffff
-314 6 -27 ffffff
-313 6 -27 ffffff
-312 6 -27 ffffff
-311 6 -27 ffffff
-310 6 -27 ffffff
-309 6 -27 ffffff
-308 6 -27 ffffff
-321 7 -27 ffffff
-320 7 -27 ffffff
-319 7 -27 ffffff
-315 7 -27 ffffff
-314 7 -27 ffffff
-313 7 -27 ffffff
-312 7 -27 ffffff
-311 7 -27 ffffff
-310 7 -27 ffffff
-309 7 -27 ffffff
-308 7 -27 ffffff
-321 8 -27 ffffff
